id	desc	common.n	target.n	p-value	genes	p-adjust
IPR012338	Beta-lactamase/transpeptidase-like	11	16	2.9321244506900537e-15	b0376, b0839, b3396, b0632, b2010, b0149, b0084, b2134, b0635, b2519, b3182	4.104974230966075e-13
IPR005490	L,D-transpeptidase catalytic domain	6	6	1.5009562323615654e-10	b1678, b1990, b0224, b0819, b0925, b1113	1.0506693626530957e-08
IPR038063	L,D-transpeptidase catalytic domain-like	6	6	1.5009562323615654e-10	b1678, b1990, b0224, b0819, b0925, b1113	7.004462417687305e-09
IPR001460	Penicillin-binding protein, transpeptidase	5	5	6.673839412551992e-09	b3396, b0149, b0084, b0635, b2519	2.335843794393197e-07
IPR013221	Mur ligase, central	5	6	3.9292558359131175e-08	b0091, b0086, b4233, b0085, b0088	1.100191634055673e-06
IPR036615	Mur ligase, C-terminal domain superfamily	5	6	3.9292558359131175e-08	b0091, b0086, b4233, b0085, b0088	9.168263617130608e-07
IPR004101	Mur ligase, C-terminal	5	6	3.9292558359131175e-08	b0091, b0086, b4233, b0085, b0088	7.858511671826235e-07
IPR036565	Mur-like, catalytic domain superfamily	5	7	1.349474055482531e-07	b0091, b0086, b4233, b0085, b0088	2.3615795970944293e-06
IPR036950	Penicillin binding protein transglycosylase domain	4	4	2.9378513495662553e-07	b3208, b0149, b3396, b2519	4.569990988214175e-06
IPR001264	Glycosyl transferase, family 51	4	4	2.9378513495662553e-07	b3208, b3396, b0149, b2519	4.112991889392757e-06
IPR000713	Mur ligase, N-terminal catalytic domain	4	4	2.9378513495662553e-07	b0091, b4233, b0085, b0086	3.7390835358115978e-06
IPR018044	Peptidase S11, D-alanyl-D-alanine carboxypeptidase A	4	4	2.9378513495662553e-07	b0632, b2010, b2134, b0839	3.427493241160631e-06
IPR050979	Bacterial L,D-transpeptidase	4	4	2.9378513495662553e-07	b1678, b1113, b1990, b0819	3.163839914917506e-06
IPR041597	L,D-transpeptidase C-terminal domain	4	4	2.9378513495662553e-07	b1678, b1113, b1990, b0819	2.9378513495662554e-06
IPR001967	Peptidase S11, D-alanyl-D-alanine carboxypeptidase A, N-terminal	4	4	2.9378513495662553e-07	b0632, b2010, b2134, b0839	2.741994592928505e-06
IPR050396	Glycosyltransferase 51/Transpeptidase	3	3	1.2804877346846862e-05	b3396, b0149, b2519	0.00011204267678491004
IPR015956	Penicillin-binding protein, C-terminal domain superfamily	3	3	1.2804877346846862e-05	b0632, b2010, b0839	0.00010545193109168004
IPR012907	Peptidase S11, D-Ala-D-Ala carboxypeptidase A, C-terminal	3	3	1.2804877346846862e-05	b0632, b2010, b0839	9.959349047547559e-05
IPR037167	D-Ala-D-Ala carboxypeptidase, C-terminal domain superfamily	3	3	1.2804877346846862e-05	b0632, b2010, b0839	9.435172781887161e-05
IPR007730	Sporulation-like domain	3	4	5.0338153982517565e-05	b3388, b2314, b3933	0.000352367077877623
IPR036680	Sporulation-like domain superfamily	3	4	5.0338153982517565e-05	b3388, b2314, b3933	0.00033558769321678376
IPR023346	Lysozyme-like domain superfamily	4	12	0.00012561612661735129	b3396, b0149, b2519, b3208	0.0007993753512013264
IPR036779	LysM domain superfamily	3	7	0.00041815371516624745	b1678, b2742, b1113	0.0025452834836206363
IPR000291	D-alanine--D-alanine ligase/VANA/B/C, conserved site	2	2	0.0005526585062899104	b0092, b0381	0.003223841286691144
IPR050061	Peptidoglycan biosynthesis MurCDEF	2	2	0.0005526585062899104	b0091, b4233	0.003094887635223498
IPR005311	Penicillin-binding protein, dimerisation domain	2	2	0.0005526585062899104	b0084, b0635	0.0029758534954072097
IPR018365	Cell cycle, FtsW / RodA / SpoVE, conserved site	2	2	0.0005526585062899104	b0634, b0089	0.0028656366992810167
IPR001182	Probable peptidoglycan glycosyltransferase FtsW/RodA	2	2	0.0005526585062899104	b0634, b0089	0.002763292531449552
IPR011095	D-alanine--D-alanine ligase, C-terminal	2	2	0.0005526585062899104	b0092, b0381	0.002668006582089223
IPR005905	D-alanine--D-alanine ligase	2	2	0.0005526585062899104	b0092, b0381	0.0025790730293529154
IPR036138	Penicillin-binding protein, dimerisation domain superfamily	2	2	0.0005526585062899104	b0084, b0635	0.0024958771251802404
IPR050515	Bacterial Transpeptidases and Beta-Lactamases	2	2	0.0005526585062899104	b0084, b0635	0.002417880965018358
IPR035911	MurE/MurF, N-terminal	2	2	0.0005526585062899104	b0085, b0086	0.0023446118448662867
IPR011127	D-alanine--D-alanine ligase, N-terminal domain	2	2	0.0005526585062899104	b0092, b0381	0.0022756526729584546
IPR023009	Tyrosine recombinase XerC/XerD	2	2	0.0005526585062899104	b2894, b3811	0.0022106340251596417
IPR052521	Bacterial cell division SPOR domain-containing protein	2	2	0.0005526585062899104	b2314, b3933	0.0021492275244607627
IPR018392	LysM domain	3	8	0.0006575790358018149	b1678, b2742, b1113	0.0024881368922230833
IPR004107	Integrase, SAM-like, N-terminal	2	3	0.0016323657641760375	b2894, b3811	0.006013979131174876
IPR050570	Bacterial cell wall metabolism enzyme	2	4	0.0032143933743695573	b3613, b2742	0.011538848010557386
IPR016047	M23ase, beta-sheet core domain	2	4	0.0032143933743695573	b3613, b2742	0.011250376810293452
IPR050090	Bacterial tyrosine recombinase XerC/XerD complex	2	6	0.007790743409880042	b2894, b3811	0.02660253847276112
IPR011055	Duplicated hybrid motif	2	7	0.010739779287765564	b3613, b2742	0.03579926429255188
IPR010998	Integrase/recombinase, N-terminal	2	8	0.014100512705086813	b2894, b3811	0.045908646016561715

