id	desc	common.n	target.n	p-value	genes	p-adjust
GO:0002181	cytoplasmic translation	53	55	6.566475799936721e-84	b3984, b3311, b3306, b3309, b3294, b3304, b1717, b3298, b1089, b3321, b3983, b3320, b3305, b1716, b3341, b3065, b3313, b3307, b3303, b3985, b2609, b0169, b4200, b3316, b3297, b3986, b3310, b3231, b3319, b3637, b3314, b3299, b3186, b3165, b2606, b3302, b3318, b3230, b0023, b3317, b3703, b3185, b3342, b3301, b3315, b3308, b4202, b4203, b2185, b3636, b3312, b3936, b3296	1.7795149417828516e-81
GO:0003735	structural constituent of ribosome	53	57	1.6868764600208048e-81	b3984, b3311, b3306, b3309, b3294, b3304, b1717, b3298, b1089, b3321, b3983, b3320, b3305, b1716, b3065, b3341, b3313, b3303, b3307, b3985, b2609, b0169, b4200, b3316, b3297, b3986, b3310, b3231, b3319, b3637, b3314, b3299, b3186, b3165, b3302, b2606, b3318, b3230, b0023, b3317, b3703, b3342, b3185, b3301, b3315, b3308, b4202, b3636, b2185, b4203, b3312, b3936, b3296	2.2857176033281905e-79
GO:0022625	cytosolic large ribosomal subunit	33	34	1.5240668279309767e-51	b3984, b3309, b3294, b3304, b1717, b1089, b3983, b3320, b3305, b1716, b3313, b3985, b3986, b3310, b3231, b3319, b3637, b3299, b3186, b2606, b3302, b3318, b3317, b3703, b3185, b3301, b3315, b3308, b4203, b3636, b2185, b3312, b3936	1.376740367897649e-49
GO:0022627	cytosolic small ribosomal subunit	21	24	2.835093226542418e-30	b3311, b3203, b3306, b3298, b3321, b3341, b3065, b3303, b3307, b2609, b0169, b4200, b3316, b3297, b3314, b3165, b3230, b0023, b3342, b4202, b3296	1.9207756609824883e-28
GO:0019843	rRNA binding	26	49	4.496617880731502e-28	b3984, b3311, b3306, b3298, b3983, b3320, b3065, b3341, b3313, b3307, b3303, b3316, b3319, b3637, b3314, b3299, b3186, b3165, b3318, b3317, b3185, b3342, b3301, b3312, b3936, b3296	2.4371668913564737e-26
GO:0000027	ribosomal large subunit assembly	19	28	1.310418747806765e-23	b3984, b3309, b3294, b1089, b3983, b3320, b3305, b1716, b3313, b3637, b2606, b3302, b3318, b3317, b3185, b3308, b3636, b2185, b3312	5.918724677593888e-22
GO:0006412	translation	17	31	6.717094461943466e-19	b3986, b3341, b3309, b3307, b3303, b3985, b3299, b3342, b3315, b3308, b0528, b3165, b4202, b2185, b3983, b3297, b3936	2.600475141695256e-17
GO:0005737	cytoplasm	56	608	1.0130756304077847e-16	b3984, b3311, b3306, b3309, b3294, b3304, b1717, b1089, b3298, b3321, b3983, b3320, b3305, b1716, b3065, b3313, b3341, b3303, b3307, b3985, b2609, b0169, b4200, b3316, b3297, b2660, b3986, b3310, b3231, b3319, b3637, b3314, b3299, b3186, b3165, b2606, b3302, b3318, b3230, b0023, b4483, b1719, b3317, b3703, b3185, b3342, b3301, b3315, b3308, b4203, b3636, b4202, b2185, b3312, b3936, b3296	3.431793698006371e-15
GO:0070180	large ribosomal subunit rRNA binding	10	10	3.6914534211252936e-16	b3310, b3231, b3309, b3985, b3315, b2606, b4203, b3983, b3305, b1716	1.1115376412499495e-14
GO:0000028	ribosomal small subunit assembly	13	20	4.8109713976535785e-16	b3296, b3311, b3065, b3341, b3306, b3307, b3303, b3314, b2609, b0169, b3316, b3165, b0023	1.3037732487641197e-14
