id	desc	common.n	target.n	p-value	genes	p-adjust
IPR006311	Twin-arginine translocation pathway, signal sequence	22	22	3.7490672733717045e-35	b1971, b4072, b1872, b1019, b0997, b0894, b2206, b0286, b1424, b2997, b2817, b1587, b2435, b0972, b0123, b1474, b1588, b3894, b0926, b2205, b0324, b3017	7.085737146672521e-33
IPR019546	Twin-arginine translocation pathway, signal sequence, bacterial/archaeal	9	9	1.3366783858511671e-14	b0894, b4072, b2206, b1424, b1872, b2997, b2996, b0972, b3017	1.2631610746293529e-12
IPR006657	Molybdopterin dinucleotide-binding domain	8	13	5.451254903678551e-10	b0997, b0894, b2206, b1588, b1872, b1587, b1474, b3894	3.434290589317487e-08
IPR006656	Molybdopterin oxidoreductase	8	14	1.2404978514483039e-09	b0997, b0894, b2206, b1588, b1872, b1587, b1474, b3894	5.861352348093236e-08
IPR009010	Aspartate decarboxylase-like domain superfamily	8	15	2.5924671631400326e-09	b0997, b0894, b2206, b1588, b1872, b1587, b1474, b3894	9.799525876669323e-08
IPR006655	Molybdopterin oxidoreductase, prokaryotic, conserved site	7	11	5.110294389233488e-09	b0997, b0894, b1588, b1872, b1587, b1474, b3894	1.6097427326085487e-07
IPR006963	Molybdopterin oxidoreductase, 4Fe-4S domain	6	10	1.1508703029987512e-07	b0894, b2206, b1588, b1587, b1474, b3894	3.107349818096628e-06
IPR050612	Prokaryotic Molybdopterin Oxidoreductases	5	6	1.241693290281162e-07	b0997, b0894, b1588, b1872, b1587	2.9335003982892456e-06
IPR027467	Molybdopterin oxidoreductase, molybdopterin cofactor binding site	5	8	1.1045245338443783e-06	b0894, b2206, b1588, b1474, b3894	2.3195015210731943e-05
IPR011888	Anaerobic dimethyl sulphoxide reductase, subunit A, DmsA/YnfE	3	3	2.545881076969827e-05	b1587, b1588, b0894	0.0004811715235472973
IPR008991	Translation protein SH3-like domain superfamily	3	6	0.0004767454173151875	b3317, b3309, b2606	0.008191353079324585
IPR011707	Multicopper oxidase-like, N-terminal	2	2	0.0008720652958890296	b0123, b3017	0.013735028410252217
IPR045087	Multicopper oxidase	2	2	0.0008720652958890296	b0123, b3017	0.012678487763309739
IPR037024	[NiFe]-hydrogenase, small subunit, N-terminal domain superfamily	2	2	0.0008720652958890296	b0972, b2997	0.0117728814945019
IPR006312	Sec-independent protein translocase protein TatA/E	2	2	0.0008720652958890296	b3836, b0627	0.010988022728201773
IPR011706	Multicopper oxidase, C-terminal	2	2	0.0008720652958890296	b0123, b3017	0.010301271307689163
IPR037148	[NiFe]-hydrogenase, small subunit, C-terminal domain superfamily	2	2	0.0008720652958890296	b2997, b0972	0.009695314171942741
IPR001821	[NiFe]-hydrogenase, small subunit	2	2	0.0008720652958890296	b2997, b0972	0.009156685606834811
IPR027394	Cytochrome-c3 hydrogenase, C-terminal	2	2	0.0008720652958890296	b0972, b2997	0.008674754785422453
IPR003369	Sec-independent protein translocase protein TatA/B/E	2	2	0.0008720652958890296	b3836, b0627	0.00824101704615133
IPR006443	Formate dehydrogenase-N, alpha subunit	2	2	0.0008720652958890296	b1474, b3894	0.007848587663001267
IPR020930	Large ribosomal subunit protein uL5, bacterial-type	2	2	0.0008720652958890296	b2185, b3308	0.007491833678319391
IPR041460	Molybdopterin oxidoreductase, N-terminal	2	2	0.0008720652958890296	b0997, b1872	0.007166101779262027
IPR034704	Large ribosomal subunit protein bL28/bL31-like superfamily	2	3	0.0025652782661276926	b3637, b3936	0.020201566345755578
IPR006658	Molybdopterin guanine dinucleotide-containing S/N-oxide reductase	2	3	0.0025652782661276926	b0997, b1872	0.019393503691925357
IPR041954	Trimethylamine-N-oxide reductase-like, molybdopterin-binding domain	2	3	0.0025652782661276926	b0997, b1872	0.01864759970377438
IPR002508	N-acetylmuramoyl-L-alanine amidase, catalytic domain	2	3	0.0025652782661276926	b2817, b2435	0.017956947862893848
IPR011332	Zinc-binding ribosomal protein	2	3	0.0025652782661276926	b1089, b3636	0.017315628296361924
IPR034746	POTRA domain	2	3	0.0025652782661276926	b0177, b0093	0.016718537665452893
IPR050695	N-acetylmuramoyl-L-alanine amidase 3	2	3	0.0025652782661276926	b2817, b2435	0.016161253076604463
IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	5	37	0.004307802028948877	b2481, b4072, b2205, b1671, b2996	0.02626369624101089
IPR050954	Electron Transfer Iron-Sulfur Cluster-Binding Protein	2	4	0.005030933816184389	b1671, b4072	0.029713952851839046
IPR032818	DedA-like	2	4	0.005030933816184389	b0065, b3009	0.028813530038146955
IPR008972	Cupredoxin	2	4	0.005030933816184389	b0123, b3017	0.027966073272319102
IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	2	4	0.005030933816184389	b1494, b2687	0.0271670426073957
IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	5	42	0.007471765288643378	b2481, b4072, b2205, b1671, b2996	0.039226767765377736
IPR006137	NADH:ubiquinone oxidoreductase-like, 20kDa subunit	2	5	0.008222454583805291	b2997, b0972	0.042001186928086486
IPR014722	Large ribosomal subunit protein uL2, domain 2	2	5	0.008222454583805291	b3317, b3309	0.040895892535242104

