id	desc	common.n	target.n	p-value	genes	p-adjust
Ribosomal protein	Ribosomal protein	53	56	1.204577155065102e-82	b3983, b3297, b3936, b3186, b3321, b3304, b3305, b3314, b2606, b3298, b3985, b3294, b3636, b3637, b3317, b3302, b3307, b3319, b1089, b4202, b3311, b1717, b4203, b3986, b4200, b3185, b3310, b3318, b3703, b3303, b3309, b3312, b3296, b3306, b2609, b3316, b3165, b2185, b3315, b0169, b3299, b3308, b3313, b3341, b3065, b3231, b3301, b3342, b3230, b0023, b1716, b3984, b3320	1.3009433274703101e-80
Ribonucleoprotein	Ribonucleoprotein	53	57	1.6868764600208048e-81	b3983, b3297, b3936, b3186, b3304, b3321, b3305, b3314, b2606, b3298, b3985, b3294, b3636, b3637, b3317, b3307, b3302, b3319, b1089, b4202, b3311, b1717, b4203, b3986, b4200, b3318, b3310, b3185, b3703, b3303, b3309, b3312, b3306, b3296, b2609, b3316, b3165, b2185, b3315, b3299, b0169, b3308, b3313, b3341, b3231, b3342, b3301, b3065, b0023, b3230, b1716, b3984, b3320	9.109132884112347e-80
rRNA-binding	rRNA-binding	40	59	9.181517781417986e-50	b3983, b3297, b3936, b3186, b3304, b3305, b3314, b2606, b3298, b3985, b3637, b3317, b3319, b4202, b3311, b4203, b4200, b3185, b3318, b3310, b3303, b3309, b3296, b3306, b3312, b3316, b3165, b2185, b3315, b3299, b3308, b3313, b3341, b3301, b3065, b3342, b0023, b1716, b3984, b3320	3.305346401310475e-48
RNA-binding	RNA-binding	45	141	7.906787418692221e-37	b3983, b3297, b3936, b3186, b3321, b3304, b3305, b3314, b2606, b3298, b3637, b3985, b3636, b3317, b3319, b4202, b3311, b4200, b3318, b3310, b3185, b3303, b3309, b3312, b3296, b3306, b3984, b3316, b1719, b3165, b2185, b3315, b3299, b3308, b3313, b3341, b3301, b3065, b3342, b0528, b0023, b3230, b1716, b4203, b3320	2.1348326030468997e-35
Direct protein sequencing	Direct protein sequencing	75	944	6.046947739774572e-20	b0152, b3983, b3297, b3936, b0123, b3017, b3321, b3838, b3186, b3304, b3305, b3314, b2606, b3298, b4483, b3294, b3637, b3636, b2997, b3985, b3317, b3302, b3307, b3319, b1872, b4202, b1089, b3311, b1717, b3986, b4200, b3318, b3310, b0972, b2687, b3185, b3703, b0997, b3303, b3309, b3312, b3296, b3306, b2609, b1319, b3984, b3316, b3924, b1424, b2206, b3165, b2185, b3990, b0894, b3315, b3299, b1126, b0169, b3836, b3308, b3313, b3341, b3301, b3065, b3231, b3342, b0023, b3230, b0177, b3203, b1716, b1971, b4203, b3839, b3320	1.3061407117913076e-18
3D-structure	3D-structure	88	1735	3.156877509798989e-11	b0152, b3297, b0123, b3314, b2606, b4483, b3294, b3319, b4202, b3311, b2817, b0460, b3318, b3310, b3703, b1319, b3924, b1719, b1424, b3299, b3836, b3301, b1019, b2617, b3321, b3637, b3636, b2061, b3300, b0972, b3185, b2435, b0997, b3309, b3312, b2609, b2247, b0093, b3316, b2185, b3601, b1126, b3308, b0023, b3230, b1971, b4203, b0435, b3017, b3186, b3304, b1474, b3305, b3298, b3317, b1089, b4200, b3303, b3296, b3306, b2162, b0742, b2206, b1494, b3315, b3341, b3065, b0177, b3203, b1716, b3983, b3936, b0286, b2997, b3985, b3302, b3307, b1717, b3986, b3981, b3165, b0169, b3313, b3231, b3342, b0528, b3984, b3320	5.68237951763818e-10
tRNA-binding	tRNA-binding	11	33	1.1234601964410774e-09	b3308, b3313, b3341, b3342, b3185, b3230, b1719, b3298, b3316, b3636, b3984	1.733338588794805e-08
Molybdenum	Molybdenum	9	22	4.793960115332812e-09	b0894, b0997, b1872, b1588, b3894, b1474, b1587, b1971, b2206	6.471846155699296e-08
Translation regulation	Translation regulation	8	27	6.62411225071367e-07	b3319, b3296, b3306, b3203, b3985, b1719, b3984, b3165	7.948934700856405e-06
Periplasm	Periplasm	19	179	8.865918272450822e-07	b0152, b0939, b0123, b3017, b1474, b0286, b2997, b1872, b2817, b2205, b2435, b0997, b0742, b1424, b2206, b2996, b3894, b1971, b1019	9.575191734246888e-06
