id	desc	common.n	target.n	p-value	genes	p-adjust
TU00337	TU00337	12	12	2.7467219335270434e-19	b3304, b3307, b3310, b3301, b3308, b3303, b3305, b3302, b3306, b3309, b3300, b3299	2.6917874948565026e-17
TU00347	TU00347	11	11	1.0111223391197416e-17	b3311, b3313, b3316, b3319, b3321, b3318, b3314, b3315, b3317, b3312, b3320	4.954499461686734e-16
TU0-14658	TU0-14658	4	5	3.6027502829762634e-06	b3294, b3298, b3296, b3297	0.0001176898425772246
TU00349	TU00349	4	5	3.6027502829762634e-06	b3294, b3298, b3296, b3297	8.826738193291845e-05
TU0-6512	TU0-6512	4	6	1.0559912190872559e-05	b3983, b3984, b3985, b3986	0.00020697427894110216
TU0-42519	TU0-42519	3	3	2.545881076969827e-05	b3839, b3838, b3836	0.00041582724257173843
TU0-14052	TU0-14052	3	3	2.545881076969827e-05	b3839, b3838, b3836	0.0003564233507757758
TU00346	TU00346	3	4	9.962271607099775e-05	b4200, b4203, b4202	0.0012203782718697223
TU0-14255	TU0-14255	2	2	0.0008720652958890296	b1717, b1716	0.009495822110791656
TU00338	TU00338	2	2	0.0008720652958890296	b3185, b3186	0.008546239899712491
TU00336	TU00336	2	2	0.0008720652958890296	b3230, b3231	0.007769308999738628
TU00339	TU00339	2	2	0.0008720652958890296	b3636, b3637	0.007121866583093742
TU0-14257	TU0-14257	3	8	0.0012777720374657726	b1717, b1716, b1719	0.009632435359357363
TU0-5601	TU0-5601	2	3	0.0025652782661276926	b3636, b3637	0.017956947862893848
TU0-3305	TU0-3305	2	3	0.0025652782661276926	b1716, b1717	0.01675981800536759
TU0-5543	TU0-5543	2	3	0.0025652782661276926	b3636, b3637	0.015712329380032117
TU00335	TU00335	2	4	0.005030933816184389	b3985, b3986	0.029001853763886476
TU0-42628	TU0-42628	2	4	0.005030933816184389	b3185, b3186	0.027390639665892783
TU0-5522	TU0-5522	2	4	0.005030933816184389	b3636, b3637	0.025949027051898426
TU00348	TU00348	2	4	0.005030933816184389	b3341, b3342	0.024651575699303506
TU00351	TU00351	2	4	0.005030933816184389	b2606, b2609	0.023477691142193814
TU0-45246	TU0-45246	2	5	0.008222454583805291	b1588, b1587	0.0366272976914963
TU0-5481	TU0-5481	2	5	0.008222454583805291	b1588, b1587	0.0350348064875182

