id	desc	common.n	target.n	p-value	genes	p-adjust
Cell division	Cell division	65	66	3.774634086999437e-116	b0740, b4409, b1174, b0088, b2314, b1352, b3865, b0924, b3811, b3232, b2910, b1570, b0102, b3463, b3388, b4206, b0946, b0091, b3017, b1575, b1731, b0436, b0958, b0084, b0923, b3462, b2742, b0742, b0087, b3613, b0737, b0094, b0739, b0174, b3189, b2748, b2412, b0086, b4233, b0741, b1916, b2894, b3972, b3641, b3933, b3247, b4520, b0922, b1176, b1569, b0085, b0890, b0090, b0089, b0956, b0095, b3928, b0738, b1175, b1107, b0083, b3182, b0093, b3163, b1963	3.0197072695995495e-114
Cell cycle	Cell cycle	65	66	3.774634086999437e-116	b0740, b1174, b4409, b0088, b2314, b1352, b3865, b0924, b3811, b3232, b2910, b1570, b0102, b3463, b3388, b4206, b0946, b0091, b3017, b1575, b1731, b0436, b0958, b0084, b3462, b0923, b2742, b0742, b0087, b0737, b0739, b2748, b0094, b3189, b3613, b0174, b2412, b0086, b4233, b0093, b1916, b3247, b3972, b0741, b2894, b3641, b3933, b0922, b4520, b1569, b0085, b0890, b0090, b0089, b0956, b0095, b3928, b0738, b1107, b1175, b0083, b3182, b1176, b3163, b1963	1.5098536347997748e-114
Cell shape	Cell shape	48	49	8.408002226403134e-83	b0839, b2005, b0088, b0634, b3249, b2010, b3147, b3967, b3730, b3250, b0092, b0149, b0819, b3251, b3208, b2519, b1192, b0091, b0632, b2134, b0381, b0084, b0224, b0087, b3396, b0925, b2896, b1678, b1069, b0174, b3189, b4233, b0086, b3972, b1113, b3057, b2516, b0085, b0090, b1105, b0089, b4053, b0376, b0635, b0841, b1107, b3182, b1990	2.242133927040836e-81
Peptidoglycan synthesis	Peptidoglycan synthesis	41	41	2.058567597061715e-71	b0839, b0088, b0634, b3147, b2010, b3967, b3730, b0092, b0149, b0819, b2519, b3208, b1192, b0091, b0632, b2134, b0381, b0084, b0224, b0087, b3396, b0925, b1678, b1069, b3189, b0174, b4233, b0086, b3972, b1113, b3057, b0085, b0090, b1105, b0089, b4053, b0635, b0841, b1107, b3182, b1990	4.1171351941234296e-70
Cell wall biogenesis/degradation	Cell wall biogenesis/degradation	40	65	6.477855425216618e-52	b0839, b0088, b0634, b2010, b3967, b3730, b0092, b0149, b0819, b2519, b3208, b1192, b0091, b0632, b2134, b0381, b0084, b0224, b0087, b3396, b0925, b1678, b1069, b3189, b0174, b4233, b0086, b3972, b1113, b3057, b0085, b0090, b0089, b4053, b0376, b0635, b0841, b1107, b3182, b1990	1.0364568680346588e-50
Septation	Septation	11	11	7.402446246256654e-19	b0946, b3865, b3933, b3928, b0095, b0958, b1175, b0084, b2910, b0102, b1176	9.869928328342205e-18
Carboxypeptidase	Carboxypeptidase	10	13	9.34726912546939e-15	b0839, b2519, b1192, b0632, b0635, b2010, b0376, b0084, b0149, b3396	1.0682593286250733e-13
Chromosome partition	Chromosome partition	6	7	1.0306194834824034e-09	b2894, b0924, b3811, b0922, b0923, b0890	1.0306194834824033e-08
Glycosyltransferase	Glycosyltransferase	13	62	1.0478797273286596e-09	b0819, b0090, b2519, b3208, b0089, b0634, b1990, b1113, b0224, b0149, b3396, b0925, b1678	9.31448646514364e-09
3D-structure	3D-structure	69	1735	1.3121974637661586e-08	b0740, b0839, b1174, b0088, b2314, b0634, b3865, b0924, b2010, b3147, b3967, b3730, b3811, b3250, b0092, b0149, b2910, b0102, b3463, b3388, b0946, b1192, b0091, b3017, b0632, b1731, b0436, b3462, b0084, b0923, b0224, b0087, b0742, b0925, b0094, b0739, b2748, b3613, b3189, b0174, b0737, b1069, b0086, b2412, b0093, b0741, b1916, b3972, b2894, b3641, b3933, b0922, b3057, b0085, b0890, b0090, b4142, b4053, b0956, b0635, b0095, b0738, b3928, b1175, b0083, b3182, b4143, b1176, b3163	1.049757971012927e-07
Coiled coil	Coiled coil	10	41	2.11540511612893e-08	b2748, b0924, b3641, b3928, b3250, b0083, b2910, b0742, b3388, b3613	1.5384764480937672e-07
Cell inner membrane	Cell inner membrane	43	986	8.655008105614132e-06	b0839, b4409, b2314, b0634, b3249, b2010, b3250, b0149, b3463, b3388, b4206, b2519, b3208, b0632, b3462, b0084, b2742, b0087, b3396, b2896, b0739, b0094, b2748, b0737, b1069, b2412, b3247, b3933, b4520, b1254, b3057, b2516, b0890, b0090, b0089, b0376, b0635, b0738, b1175, b0083, b0841, b0093, b1963	5.770005403742755e-05
Protease	Protease	10	85	2.4884729909966328e-05	b0839, b2519, b1192, b0635, b0376, b2010, b0632, b0084, b0149, b3396	0.00015313679944594665
Membrane	Membrane	48	1247	6.35756176627718e-05	b0839, b4409, b2314, b0634, b3249, b2010, b3147, b3250, b0149, b3463, b3388, b4206, b2519, b3208, b0632, b3462, b0084, b2742, b0087, b3396, b0925, b2896, b0739, b0094, b2748, b0737, b1069, b2412, b0741, b3247, b3933, b4520, b1254, b3057, b2516, b0890, b0090, b1105, b0089, b0376, b0635, b0738, b1175, b0083, b0841, b0093, b3163, b1963	0.00036328924378726743
Cell membrane	Cell membrane	44	1119	9.89110307199472e-05	b0839, b4409, b2314, b0634, b3249, b2010, b3250, b0149, b3463, b3388, b4206, b2519, b3208, b0632, b3462, b0084, b2742, b0087, b3396, b2896, b0739, b0094, b2748, b0737, b1069, b2412, b3247, b3933, b4520, b1254, b3057, b2516, b0890, b0090, b0089, b0376, b0635, b0738, b1175, b0083, b0841, b0093, b3163, b1963	0.0005275254971730518
DNA condensation	DNA condensation	3	6	0.0002431159731265086	b0923, b0922, b0924	0.001215579865632543
Cytoplasm	Cytoplasm	30	695	0.0004586578077369468	b2005, b0088, b0924, b3730, b3811, b3232, b0092, b2910, b0102, b3251, b0946, b1192, b0091, b0436, b0381, b0923, b3189, b0086, b3247, b3972, b2894, b3641, b0922, b0085, b4142, b0956, b0095, b3928, b1107, b4143	0.0021583896834679846
Signal-anchor	Signal-anchor	4	17	0.0005513543401825455	b0149, b2516, b3396, b2519	0.002450463734144647
Hydrolase	Hydrolase	23	492	0.0008627868395417882	b0839, b2010, b3232, b0149, b0819, b2519, b1192, b0632, b2134, b0084, b0224, b3396, b0925, b1678, b3247, b1113, b3057, b0376, b0635, b0841, b1107, b3182, b1990	0.0036327866928075295
ADP-ribosylation	ADP-ribosylation	2	4	0.0032143933743695573	b0436, b0095	0.012857573497478231
Transmembrane helix	Transmembrane helix	34	931	0.0036237770134785133	b4409, b2314, b0634, b3249, b3250, b0149, b3388, b4206, b2519, b3208, b3462, b0084, b0087, b3396, b0925, b2896, b0739, b0737, b2748, b1069, b2412, b3933, b4520, b1254, b3057, b2516, b0890, b0089, b0635, b0738, b0841, b0083, b0093, b1963	0.013804864813251478
Antibiotic resistance	Antibiotic resistance	6	68	0.005019507718407931	b3182, b4409, b0841, b3057, b0149, b3396	0.0182527553396652
Ligase	Ligase	7	92	0.005652062689880931	b4233, b0086, b0088, b0091, b0381, b0092, b0085	0.01965934848654237
Transmembrane	Transmembrane	34	981	0.00855146590643033	b4409, b2314, b0634, b3249, b3250, b0149, b3388, b4206, b2519, b3208, b3462, b0084, b0087, b3396, b0925, b2896, b0739, b0737, b2748, b1069, b2412, b3933, b4520, b1254, b3057, b2516, b0890, b0089, b0635, b0738, b0841, b0083, b0093, b1963	0.028504886354767764
Signal	Signal	20	487	0.008820528501076329	b0740, b0839, b3147, b2010, b0819, b3017, b0632, b2134, b0224, b2742, b0742, b1678, b3613, b0741, b1113, b1105, b0376, b3182, b3163, b1990	0.02822569120344425
Periplasm	Periplasm	10	179	0.009065591716403943	b0740, b0819, b3017, b1990, b2134, b1113, b3182, b0742, b1678, b3613	0.027894128358165977
Direct protein sequencing	Direct protein sequencing	32	944	0.015373903874139738	b0740, b0839, b0088, b0924, b3811, b0092, b0149, b0819, b3251, b0091, b3017, b0632, b2134, b0436, b0923, b3396, b3189, b0086, b3247, b2894, b0922, b0085, b0090, b4142, b0376, b0635, b0095, b1175, b3182, b4143, b3163, b1990	0.045552307775228854

