id	desc	common.n	target.n	p-value	genes	p-adjust
12626683	https://pubmed.ncbi.nlm.nih.gov/12626683	15	15	1.381775624804806e-25	b0632, b0095, b0084, b3933, b0890, b0634, b0093, b2748, b1174, b0094, b1175, b1176, b0083, b2412, b0089	1.843288683489611e-22
11401685	https://pubmed.ncbi.nlm.nih.gov/11401685	16	19	2.5571628755760524e-24	b0093, b1916, b0084, b0890, b0095, b3933, b0924, b0922, b1174, b0094, b1175, b1176, b0083, b0923, b2412, b0089	1.7056276380092268e-21
12914007	https://pubmed.ncbi.nlm.nih.gov/12914007	13	13	3.2689649712504226e-22	b0632, b0095, b0084, b0093, b2134, b3251, b1174, b0094, b1175, b1176, b2010, b0839, b3182	1.4535997572160212e-19
15491352	https://pubmed.ncbi.nlm.nih.gov/15491352	14	17	4.337399961464307e-21	b0093, b0084, b3933, b0890, b2910, b0095, b2748, b3613, b0094, b2894, b0083, b3811, b2412, b0089	1.4465228871483464e-18
15752189	https://pubmed.ncbi.nlm.nih.gov/15752189	13	14	4.4886951532061826e-21	b0095, b0084, b3933, b0093, b2910, b0890, b3463, b2748, b0094, b3462, b0083, b2412, b0089	1.1975838668754095e-18
16824093	https://pubmed.ncbi.nlm.nih.gov/16824093	13	15	3.301886925814904e-20	b0093, b0084, b3933, b0890, b0095, b2910, b3463, b2748, b0089, b0094, b3462, b2412, b0083	7.341195265061805e-18
16824090	https://pubmed.ncbi.nlm.nih.gov/16824090	13	15	3.301886925814904e-20	b0095, b0084, b3933, b0890, b2910, b0093, b3463, b2748, b0094, b3462, b0083, b2412, b0089	6.2924530843386895e-18
9294438	https://pubmed.ncbi.nlm.nih.gov/9294438	13	16	1.7271925698558255e-19	b0095, b0084, b0085, b0093, b0088, b0091, b0083, b0090, b0094, b0092, b0087, b0086, b0089	2.880093610234589e-17
9614967	https://pubmed.ncbi.nlm.nih.gov/9614967	13	16	1.7271925698558255e-19	b0095, b0084, b0085, b0093, b0088, b0091, b0083, b0090, b0094, b0092, b0087, b0086, b0089	2.5600832090974124e-17
9721276	https://pubmed.ncbi.nlm.nih.gov/9721276	13	16	1.7271925698558255e-19	b0095, b0084, b0085, b0093, b0088, b0091, b0090, b0089, b0094, b0092, b0087, b0086, b0083	2.304074888187671e-17
16738554	https://pubmed.ncbi.nlm.nih.gov/16738554	37	307	5.397062481653357e-18	b0093, b3730, b3249, b3463, b3865, b1175, b3462, b3972, b0089, b0890, b0634, b3967, b0922, b0635, b0084, b0085, b2748, b0090, b3250, b0094, b3189, b0086, b0923, b1570, b2412, b0095, b3933, b0091, b0088, b4142, b1069, b0924, b1174, b3251, b0174, b0087, b0083	6.545164864114163e-16
14663069	https://pubmed.ncbi.nlm.nih.gov/14663069	10	10	3.46627591618192e-17	b0095, b0084, b3933, b0093, b2910, b0890, b0094, b0083, b2412, b0089	3.8533433934889004e-15
15774864	https://pubmed.ncbi.nlm.nih.gov/15774864	10	10	3.46627591618192e-17	b0095, b0084, b3933, b0093, b2748, b0094, b3462, b0083, b4520, b0089	3.5569323632205234e-15
2553679	https://pubmed.ncbi.nlm.nih.gov/2553679	10	11	3.738879045337546e-16	b0095, b0093, b0085, b0084, b0091, b0083, b0090, b0092, b0086, b0089	3.5626176046287754e-14
10383966	https://pubmed.ncbi.nlm.nih.gov/10383966	10	13	9.34726912546939e-15	b0632, b0635, b2519, b0376, b2134, b2010, b0149, b3396, b0839, b3182	8.312838008917445e-13
15761956	https://pubmed.ncbi.nlm.nih.gov/15761956	9	10	1.5748446912519864e-14	b0632, b2519, b0635, b0084, b2134, b0149, b3396, b0839, b3182	1.3130267613313437e-12
15165230	https://pubmed.ncbi.nlm.nih.gov/15165230	9	10	1.5748446912519864e-14	b0635, b0093, b0095, b0634, b3613, b1174, b0094, b1175, b1176	1.2357898930177352e-12
18832310	https://pubmed.ncbi.nlm.nih.gov/18832310	8	8	7.363869640515699e-14	b0093, b0095, b0890, b2910, b2748, b0089, b0094, b0083	5.457445611359968e-12
18165305	https://pubmed.ncbi.nlm.nih.gov/18165305	8	8	7.363869640515699e-14	b2519, b0084, b3933, b3208, b0149, b3396, b3182, b0089	5.170211631814707e-12
17185541	https://pubmed.ncbi.nlm.nih.gov/17185541	7	7	3.3416465284487547e-12	b0093, b0084, b3933, b0890, b2748, b0083, b0089	2.2288782344753194e-10
16194242	https://pubmed.ncbi.nlm.nih.gov/16194242	7	7	3.3416465284487547e-12	b0093, b0084, b3933, b0890, b2748, b0094, b2412	2.1227411756907803e-10
345275	https://pubmed.ncbi.nlm.nih.gov/345275	7	7	3.3416465284487547e-12	b0632, b0635, b0084, b0634, b0149, b3396, b3182	2.0262529404321084e-10
17024474	https://pubmed.ncbi.nlm.nih.gov/17024474	7	7	3.3416465284487547e-12	b0095, b1174, b3251, b0094, b1175, b1176, b2412	1.9381549865002777e-10
15630023	https://pubmed.ncbi.nlm.nih.gov/15630023	7	7	3.3416465284487547e-12	b0095, b0084, b3933, b0890, b2910, b0093, b0083	1.8573985287294328e-10
319999	https://pubmed.ncbi.nlm.nih.gov/319999	7	7	3.3416465284487547e-12	b0632, b0635, b0084, b2134, b3396, b0839, b3182	1.7831025875802553e-10
10931335	https://pubmed.ncbi.nlm.nih.gov/10931335	7	7	3.3416465284487547e-12	b0958, b0095, b1174, b0094, b1175, b1176, b2412	1.7145217188271688e-10
17993535	https://pubmed.ncbi.nlm.nih.gov/17993535	7	7	3.3416465284487547e-12	b0635, b0095, b3249, b0634, b3251, b3250, b1175	1.6510209144261623e-10
11254981	https://pubmed.ncbi.nlm.nih.gov/11254981	7	8	2.6217701352753946e-11	b0632, b0376, b2134, b0149, b3396, b0839, b3182	1.2490862001633488e-09
16238627	https://pubmed.ncbi.nlm.nih.gov/16238627	7	8	2.6217701352753946e-11	b0095, b0084, b3933, b0093, b0094, b2412, b0089	1.2060142622266815e-09
11703663	https://pubmed.ncbi.nlm.nih.gov/11703663	6	6	1.5009562323615654e-10	b0093, b0084, b3933, b0890, b0094, b0083	6.674252046567761e-09
1915297	https://pubmed.ncbi.nlm.nih.gov/1915297	6	6	1.5009562323615654e-10	b0095, b1916, b0093, b0094, b1175, b1176	6.458953593452672e-09
10027987	https://pubmed.ncbi.nlm.nih.gov/10027987	6	6	1.5009562323615654e-10	b0093, b0084, b0095, b0094, b2412, b0083	6.257111293657276e-09
12492849	https://pubmed.ncbi.nlm.nih.gov/12492849	6	6	1.5009562323615654e-10	b0085, b0091, b0088, b3189, b0086, b3972	6.067501860516147e-09
3001021	https://pubmed.ncbi.nlm.nih.gov/3001021	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	5.889045923442142e-09
9335297	https://pubmed.ncbi.nlm.nih.gov/9335297	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	5.7207874684866525e-09
18165295	https://pubmed.ncbi.nlm.nih.gov/18165295	6	6	1.5009562323615654e-10	b0635, b0095, b3249, b0634, b3251, b3250	5.561876705473134e-09
3894330	https://pubmed.ncbi.nlm.nih.gov/3894330	6	6	1.5009562323615654e-10	b0635, b0095, b0084, b0093, b0634, b0094	5.4115557134333194e-09
22885295	https://pubmed.ncbi.nlm.nih.gov/22885295	6	6	1.5009562323615654e-10	b4409, b0093, b0084, b3933, b4520, b0083	5.269146352553495e-09
11703658	https://pubmed.ncbi.nlm.nih.gov/11703658	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	5.134040035821354e-09
15466028	https://pubmed.ncbi.nlm.nih.gov/15466028	6	6	1.5009562323615654e-10	b0632, b0095, b2134, b2010, b0839, b3182	5.005689034925821e-09
9733690	https://pubmed.ncbi.nlm.nih.gov/9733690	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	4.8835990584642154e-09
12670988	https://pubmed.ncbi.nlm.nih.gov/12670988	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	4.767322890405544e-09
7744737	https://pubmed.ncbi.nlm.nih.gov/7744737	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	4.656454916210066e-09
3312962	https://pubmed.ncbi.nlm.nih.gov/3312962	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	4.5506263953871096e-09
124727	https://pubmed.ncbi.nlm.nih.gov/124727	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	4.4495013643785075e-09
19220747	https://pubmed.ncbi.nlm.nih.gov/19220747	6	6	1.5009562323615654e-10	b0635, b0095, b3249, b0634, b3251, b3250	4.35277307384854e-09
2676988	https://pubmed.ncbi.nlm.nih.gov/2676988	6	6	1.5009562323615654e-10	b0632, b2134, b0149, b3396, b0839, b3182	4.260160880787933e-09
17542921	https://pubmed.ncbi.nlm.nih.gov/17542921	6	6	1.5009562323615654e-10	b0739, b3933, b0890, b0094, b1176, b2412	4.171407529104851e-09
9748429	https://pubmed.ncbi.nlm.nih.gov/9748429	6	6	1.5009562323615654e-10	b0742, b0739, b0740, b0741, b0737, b0738	4.086276763204751e-09
15060045	https://pubmed.ncbi.nlm.nih.gov/15060045	6	6	1.5009562323615654e-10	b2910, b0094, b1175, b1176, b1575, b2412	4.004551227940657e-09
9529891	https://pubmed.ncbi.nlm.nih.gov/9529891	7	10	3.782481739033159e-10	b2519, b0634, b2010, b0149, b3396, b0839, b3182	9.893785568373006e-09
9393690	https://pubmed.ncbi.nlm.nih.gov/9393690	6	7	1.0306194834824034e-09	b0742, b0739, b0740, b0741, b0737, b0738	2.6439353672413965e-08
11115123	https://pubmed.ncbi.nlm.nih.gov/11115123	6	7	1.0306194834824034e-09	b0742, b0739, b0740, b0741, b0737, b0738	2.5940497942745777e-08
11994151	https://pubmed.ncbi.nlm.nih.gov/11994151	6	7	1.0306194834824034e-09	b0742, b0739, b0740, b0741, b0737, b0738	2.546011835121345e-08
11200223	https://pubmed.ncbi.nlm.nih.gov/11200223	6	7	1.0306194834824034e-09	b0742, b0739, b0740, b0741, b0737, b0738	2.4997207108464113e-08
8763928	https://pubmed.ncbi.nlm.nih.gov/8763928	6	7	1.0306194834824034e-09	b0742, b0739, b0740, b0741, b0737, b0738	2.4550828410098682e-08
11722743	https://pubmed.ncbi.nlm.nih.gov/11722743	6	8	4.0438248298713515e-09	b0742, b0739, b0740, b0741, b0737, b0738	9.463968987804181e-08
9701827	https://pubmed.ncbi.nlm.nih.gov/9701827	6	8	4.0438248298713515e-09	b0742, b0739, b0740, b0741, b0737, b0738	9.300797108704109e-08
11325933	https://pubmed.ncbi.nlm.nih.gov/11325933	5	5	6.673839412551992e-09	b0632, b2134, b2010, b0839, b3182	1.50896640277023e-07
15165235	https://pubmed.ncbi.nlm.nih.gov/15165235	5	5	6.673839412551992e-09	b0093, b0084, b0890, b2748, b0083	1.4838169627240595e-07
2681153	https://pubmed.ncbi.nlm.nih.gov/2681153	5	5	6.673839412551992e-09	b0084, b0085, b0088, b0090, b0086	1.4594920944826815e-07
19415799	https://pubmed.ncbi.nlm.nih.gov/19415799	5	5	6.673839412551992e-09	b0095, b0094, b1175, b1176, b2412	1.4359518994103802e-07
8752322	https://pubmed.ncbi.nlm.nih.gov/8752322	5	5	6.673839412551992e-09	b0958, b0095, b1174, b1175, b1176	1.4131590121181518e-07
12562780	https://pubmed.ncbi.nlm.nih.gov/12562780	5	5	6.673839412551992e-09	b0632, b0095, b0084, b0093, b0094	1.3910784025538057e-07
5329013	https://pubmed.ncbi.nlm.nih.gov/5329013	5	5	6.673839412551992e-09	b0632, b0149, b3396, b0839, b3182	1.3696771963606703e-07
4959942	https://pubmed.ncbi.nlm.nih.gov/4959942	5	5	6.673839412551992e-09	b0632, b0149, b3396, b0839, b3182	1.3489245115673268e-07
1103132	https://pubmed.ncbi.nlm.nih.gov/1103132	5	5	6.673839412551992e-09	b2519, b0635, b0084, b0149, b3396	1.328791309902143e-07
2254246	https://pubmed.ncbi.nlm.nih.gov/2254246	5	5	6.673839412551992e-09	b0632, b0635, b0634, b0839, b3182	1.3092502612271112e-07
18456808	https://pubmed.ncbi.nlm.nih.gov/18456808	5	5	6.673839412551992e-09	b1113, b1990, b0925, b0819, b1678	1.2902756197600518e-07
17640276	https://pubmed.ncbi.nlm.nih.gov/17640276	5	5	6.673839412551992e-09	b3249, b0090, b3251, b3250, b0087	1.2718431109063366e-07
9882665	https://pubmed.ncbi.nlm.nih.gov/9882665	5	5	6.673839412551992e-09	b0093, b0084, b0095, b0094, b0083	1.2539298276541347e-07
4871205	https://pubmed.ncbi.nlm.nih.gov/4871205	5	5	6.673839412551992e-09	b0632, b0149, b3396, b0839, b3182	1.2365141356033828e-07
18759781	https://pubmed.ncbi.nlm.nih.gov/18759781	5	5	6.673839412551992e-09	b0093, b0084, b0095, b0890, b0083	1.2195755858005967e-07
11948172	https://pubmed.ncbi.nlm.nih.gov/11948172	5	5	6.673839412551992e-09	b0093, b3933, b0890, b2412, b0083	1.2030948346411294e-07
