id	desc	common.n	target.n	p-value	genes	p-adjust
19913480	https://pubmed.ncbi.nlm.nih.gov/19913480	56	56	2.392731894421577e-92	b3986, b3321, b3341, b3231, b3983, b3298, b3297, b2606, b3311, b3303, b3981, b3310, b0093, b3316, b0023, b3185, b2185, b4200, b3186, b1717, b3309, b3342, b1716, b4203, b3230, b3296, b3320, b3636, b3307, b3312, b3315, b3300, b3299, b2609, b3065, b3314, b3306, b3703, b3302, b3294, b3936, b3305, b3301, b3165, b4202, b3304, b3318, b3317, b3985, b3308, b3984, b1089, b0169, b3319, b3637, b3313	3.3282900651404134e-89
19696352	https://pubmed.ncbi.nlm.nih.gov/19696352	53	53	4.578568958809415e-87	b3986, b3321, b3341, b3231, b3983, b3297, b3298, b2606, b3311, b3303, b3310, b3316, b0023, b3185, b2185, b4200, b1716, b3186, b4203, b3342, b3309, b1717, b3296, b3230, b3320, b3636, b3307, b3312, b3315, b3299, b2609, b3065, b3314, b3306, b3703, b3302, b3294, b3936, b3305, b3165, b3301, b4202, b3317, b3304, b3318, b3985, b3308, b3984, b1089, b0169, b3319, b3637, b3313	3.184394710851948e-84
16272117	https://pubmed.ncbi.nlm.nih.gov/16272117	52	52	2.5700230497738125e-85	b3986, b3321, b3341, b3231, b3983, b3298, b3297, b2606, b3311, b3303, b3310, b3316, b0023, b3185, b2185, b4200, b1716, b3309, b3342, b3186, b1717, b4203, b3230, b3296, b3320, b3636, b3307, b3312, b3315, b3299, b2609, b3065, b3314, b3306, b3703, b3302, b3294, b3936, b3305, b3165, b3301, b4202, b3317, b3318, b3304, b3985, b3308, b1089, b0169, b3319, b3637, b3313	1.1916340207451245e-82
10094780	https://pubmed.ncbi.nlm.nih.gov/10094780	53	55	6.566475799936721e-84	b3986, b3321, b3341, b3983, b3231, b3297, b3298, b2606, b3311, b3303, b3310, b3316, b0023, b3185, b2185, b4200, b3186, b1717, b3342, b3309, b1716, b4203, b3296, b3230, b3320, b3636, b3307, b3312, b3315, b3299, b2609, b3065, b3314, b3306, b3703, b3302, b3294, b3936, b3305, b3301, b3165, b4202, b3317, b3318, b3304, b3985, b3308, b3984, b1089, b0169, b3319, b3637, b3313	2.283491959427995e-81
11514505	https://pubmed.ncbi.nlm.nih.gov/11514505	40	40	9.665898190387358e-65	b2247, b0528, b1319, b0065, b2145, b1450, b2410, b0435, b1848, b2869, b3924, b1167, b2481, b0385, b1868, b3690, b4412, b3601, b0460, b0742, b2254, b3766, b3203, b2061, b1719, b2922, b1126, b2617, b2363, b3450, b2650, b0939, b1494, b2660, b3990, b2687, b2162, b3949, b0177, b3009	2.689052876565763e-62
15817387	https://pubmed.ncbi.nlm.nih.gov/15817387	32	32	2.0452825641152123e-51	b3894, b3838, b2206, b0926, b0894, b1872, b1588, b4072, b3839, b0152, b2043, b1671, b0627, b2996, b0286, b0324, b1971, b1424, b4483, b3017, b0164, b2435, b2997, b1019, b0972, b0997, b0123, b2817, b3836, b2205, b1587, b1474	4.741646744473767e-49
12367533	https://pubmed.ncbi.nlm.nih.gov/12367533	31	31	9.039305517898885e-50	b3894, b3838, b2206, b0926, b0894, b1872, b1588, b4072, b3839, b0152, b2043, b1671, b0627, b2996, b0286, b0324, b1971, b1424, b3017, b0164, b2435, b2997, b1019, b0972, b0997, b0123, b2817, b3836, b2205, b1587, b1474	1.7962391393424785e-47
16445746	https://pubmed.ncbi.nlm.nih.gov/16445746	31	31	9.039305517898885e-50	b3894, b3838, b2206, b0926, b0894, b1872, b1588, b4072, b3839, b2043, b0152, b1671, b0627, b2996, b0286, b0324, b1971, b1424, b3017, b0164, b2435, b2997, b1019, b0972, b0997, b0123, b2817, b3836, b2205, b1587, b1474	1.5717092469246688e-47
15802249	https://pubmed.ncbi.nlm.nih.gov/15802249	31	31	9.039305517898885e-50	b3894, b3838, b2206, b0926, b0894, b1872, b1588, b4072, b3839, b0152, b2043, b1671, b0627, b2996, b0286, b0324, b1971, b1424, b3017, b0164, b2435, b2997, b1019, b0972, b0997, b0123, b2817, b3836, b2205, b1587, b1474	1.397074886155261e-47
14560665	https://pubmed.ncbi.nlm.nih.gov/14560665	31	31	9.039305517898885e-50	b3894, b3838, b2206, b0926, b0894, b1872, b1588, b4072, b3839, b2043, b0152, b1671, b0627, b2996, b0286, b0324, b1424, b1971, b3017, b0164, b2435, b2997, b1019, b0972, b0997, b0123, b2817, b3836, b2205, b1587, b1474	1.257367397539735e-47
17218314	https://pubmed.ncbi.nlm.nih.gov/17218314	32	34	1.098097115430708e-48	b3894, b3838, b2206, b0926, b0894, b1872, b1588, b4072, b3839, b0152, b2043, b1671, b0627, b2996, b0286, b0324, b1971, b1424, b4483, b3017, b0164, b2435, b2997, b1019, b0972, b0997, b0123, b2817, b3836, b2205, b1587, b1474	1.3885937159673772e-46
4942547	https://pubmed.ncbi.nlm.nih.gov/4942547	30	30	3.955157353137797e-48	b3986, b3231, b3983, b2606, b3310, b3185, b2185, b3186, b4203, b1716, b3309, b3320, b3636, b3312, b3319, b3315, b3302, b3294, b3936, b3305, b3301, b3317, b3318, b3304, b3985, b3984, b1089, b3308, b3637, b3313	4.5846865651788965e-46
3297162	https://pubmed.ncbi.nlm.nih.gov/3297162	28	29	2.0837897929616264e-43	b3341, b3983, b2606, b3311, b3303, b0023, b3185, b2185, b3309, b3296, b3320, b3636, b3307, b3312, b3065, b3314, b3306, b3302, b3294, b3305, b3165, b3317, b3318, b3984, b1089, b0169, b3637, b3313	2.2296550784689405e-41
799248	https://pubmed.ncbi.nlm.nih.gov/799248	22	22	3.7490672733717045e-35	b3321, b3341, b3983, b2606, b3310, b4200, b3309, b3296, b3320, b3315, b2609, b3306, b3294, b3305, b3301, b3165, b4202, b3304, b3318, b3985, b3984, b0169	3.724966126614315e-33
4942549	https://pubmed.ncbi.nlm.nih.gov/4942549	20	21	1.2281378134362262e-30	b3321, b3341, b3297, b3298, b3311, b3303, b3316, b0023, b4200, b3342, b3230, b3296, b3307, b2609, b3065, b3314, b3306, b3165, b4202, b0169	1.1388931323265273e-28
4579428	https://pubmed.ncbi.nlm.nih.gov/4579428	19	19	2.3631343461043617e-30	b3321, b3341, b3298, b3297, b3311, b3303, b3316, b0023, b4200, b3342, b3230, b3296, b3307, b3065, b3314, b3306, b3165, b4202, b0169	2.0544499221444793e-28
15680962	https://pubmed.ncbi.nlm.nih.gov/15680962	20	22	1.3186160647370774e-29	b3321, b3341, b3298, b3297, b3311, b3303, b3316, b0023, b4200, b3342, b3296, b3230, b3307, b2609, b3065, b3314, b3306, b3165, b4202, b0169	1.078938203558397e-27
18784650	https://pubmed.ncbi.nlm.nih.gov/18784650	20	22	1.3186160647370774e-29	b3321, b3341, b3297, b3298, b3311, b3303, b3316, b0023, b4200, b3342, b3296, b3230, b3307, b2609, b3065, b3314, b3306, b3165, b4202, b0169	1.018997192249597e-27
14973029	https://pubmed.ncbi.nlm.nih.gov/14973029	20	23	9.867377640058253e-29	b3321, b3341, b3297, b3298, b3311, b3303, b3316, b0023, b4200, b3342, b3230, b3296, b3307, b2609, b3065, b3314, b3306, b3165, b4202, b0169	7.223959103853174e-27
15466596	https://pubmed.ncbi.nlm.nih.gov/15466596	20	23	9.867377640058253e-29	b3321, b3341, b3297, b3298, b3311, b3303, b3316, b0023, b4200, b3342, b3296, b3230, b3307, b2609, b3065, b3314, b3306, b3165, b4202, b0169	6.862761148660516e-27
10739205	https://pubmed.ncbi.nlm.nih.gov/10739205	19	21	4.72637533386067e-28	b3986, b3231, b3311, b3185, b1716, b1717, b3320, b3307, b3312, b3299, b3703, b3302, b3294, b3936, b3304, b1089, b0169, b3308, b3637	3.130660994952472e-26
4587209	https://pubmed.ncbi.nlm.nih.gov/4587209	17	17	3.579403401896633e-27	b3342, b3986, b3065, b3314, b3296, b3230, b3298, b3306, b3311, b3307, b0169, b3316, b0023, b3165, b4200, b2609, b3309	2.2631591509264618e-25
6222285	https://pubmed.ncbi.nlm.nih.gov/6222285	16	17	2.2800160490902643e-24	b3296, b3306, b3298, b3297, b3302, b3294, b3303, b3307, b3310, b3305, b3301, b3299, b3308, b3300, b3304, b3309	1.3789140540367642e-22
16738554	https://pubmed.ncbi.nlm.nih.gov/16738554	48	307	6.450280348312213e-24	b3986, b3321, b3341, b3231, b3983, b3297, b3298, b2606, b3311, b3303, b3310, b0093, b3316, b3185, b2185, b1716, b3186, b3342, b3309, b3230, b3296, b3320, b3307, b0169, b3319, b3312, b3315, b3300, b2609, b3065, b3314, b3306, b1719, b3302, b3703, b3294, b3305, b3301, b4202, b3304, b3318, b3317, b3985, b3981, b3308, b3637, b0177, b3313	3.7384749852092867e-22
2461734	https://pubmed.ncbi.nlm.nih.gov/2461734	12	12	2.7467219335270434e-19	b3342, b3341, b3314, b3296, b3306, b3230, b3311, b3303, b0023, b3165, b4202, b2609	1.528276083814447e-17
12721369	https://pubmed.ncbi.nlm.nih.gov/12721369	12	12	2.7467219335270434e-19	b3894, b3838, b3017, b0123, b0627, b0926, b0894, b3836, b0972, b0997, b3839, b1474	1.4694962344369682e-17
3892488	https://pubmed.ncbi.nlm.nih.gov/3892488	11	11	1.0111223391197416e-17	b3318, b3321, b3314, b3317, b3320, b3311, b3312, b3316, b3315, b3319, b3313	5.209152495242816e-16
15525706	https://pubmed.ncbi.nlm.nih.gov/15525706	11	11	1.0111223391197416e-17	b3231, b3320, b2606, b3294, b3984, b3301, b3315, b3319, b3304, b3313, b3309	5.02311133469843e-16
1702198	https://pubmed.ncbi.nlm.nih.gov/1702198	11	11	1.0111223391197416e-17	b3318, b3231, b2606, b3302, b3636, b3294, b3310, b3305, b3304, b3637, b3309	4.849900599019174e-16
17187058	https://pubmed.ncbi.nlm.nih.gov/17187058	49	449	1.9492941536239095e-17	b3986, b3321, b3341, b3231, b3983, b3297, b3298, b2606, b3303, b3310, b3316, b0023, b2185, b4200, b1716, b3186, b3309, b4203, b3230, b3296, b3320, b3636, b3307, b3319, b3312, b3315, b2609, b0742, b3065, b3314, b3306, b1719, b3302, b3294, b3936, b3305, b3301, b3165, b4202, b3304, b3318, b3317, b3985, b1494, b3984, b0169, b3308, b3637, b3313	9.038227225636193e-16
22157000	https://pubmed.ncbi.nlm.nih.gov/22157000	20	57	2.9514236234537007e-17	b3894, b3986, b3321, b3983, b3231, b3297, b3310, b3316, b3185, b3342, b3296, b3314, b3306, b1719, b3305, b3317, b3985, b0169, b3308, b3637	1.3243323420077734e-15
7037196	https://pubmed.ncbi.nlm.nih.gov/7037196	11	12	1.1831328656748922e-16	b3318, b3321, b3314, b3320, b3311, b3312, b3316, b3315, b3319, b3313, b3317	5.142930675480547e-15
6361486	https://pubmed.ncbi.nlm.nih.gov/6361486	11	12	1.1831328656748922e-16	b3230, b2606, b3302, b3311, b3636, b3984, b3301, b0023, b3185, b3637, b3309	4.987084291375076e-15
